ID,Borough,Name,Overall_Pop,Race_White,Race_Black,Race_Asian,Race_Latino,Race_Other,Age0to17,Age18to24,Age25to44,Age45to64,Age65plus,Ltd_Eng_Prof,lower_95CL,upper_95CL,NYC_Comparison,Born_Outside_US,lower_95CL,upper_95CL,NYC_Comparison,School_Absent,NYC_comparison,On_Time_HS_Grad,NYC_Comparison,Edu_Did_Not_Complete_HS,lower_95CL,upper_95CL,NYC_Comparison,Edu_HSGrad_Some_College,lower_95CL,upper_95CL,NYC_Comparison,Edu_College_Degree_And_Higher,lower_95CL,upper_95CL,NYC_Comparison,Poverty,Unemployment,lower_95CL,upper_95CL,NYC_Comparison,Rent_Burden,lower_95CL,upper_95CL,NYC_Comparison,Avertable_Death,Assault_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Jail_Incarceration,Helpful_Neighbor,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Homes_No_Defects,Homes_No_Defects_reliability_note,Homes_Roach,Homes_Roach_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,Homes_AC,Homes_AC_reliability_note ,lower_95CL,upper_95CL,NYC_Comparison,Air_Pollution,Bike_Coverage,NYC_comparison,Pedestrian_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Ratio_Bodega_Supermarket,Farmers_Markets,Late_No_Prenatal,NYC_Comparison,Preterm_Births,NYC_Comparison,Teen_Births,Teen_Births_reliability_note,NYC_Comparison,Child_Obesity,lower_95CL,upper_95CL,NYC_Comparison,Child_Asthma,Avoidable_Child_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Self_Rep_Health,Self_Rep_Health_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Physical_Activity,Physical_Activity_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Sugary_Drink,Sugary_Drink_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Fruit_Veg,Fruit_Veg_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Smoking,Smoking_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Uninsured,Uninsured_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Unmet_Med_Care,Unmet_Med_Care_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Avoidable_Adult_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Falls_Hosp,lower_95CL,upper_95CL,NYC_Comparison,HPV_Vaccination_All,HPV_Vaccincation_note,Flu_Vaccination,Flu_Vaccination_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Obesity,Obesity_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Diabetes,Diabetes_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Hypertension,Hypertension_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,HIV_Diagnoses,HIV_Diagnoses_reliability_note,HepC_Reports,Binge_Drink,Binge_Drink_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Psych_Hosp,lower_95CL,upper_95CL,NYC_comparison,Infant_Mort,Infant_Mort_reliability_note,lower_95CL,upper_95CL,NYC_comparison,Premature_Mort_Number,Premature_Mort_Rate,NYC_Comparison,Life_Expectancy,lower_95CL,upper_95CL,NYC_Comparison
101,Manhattan,Financial District,57765,63,4,22,8,4,15,11,47,19,9,6,4.9,6.3,Lower,23,21.5,24,Lower,6,Lower,98,Higher,4,3.3,4.6,Lower,11,10,12.1,Lower,85,83.5,86.5,Higher,8,4,3,4,Lower,35,33,37,Lower,n/a,24,16.9,33.4,Lower,58,81,74.4,86.5,Similar,0.174,62,,10,,5.9,13.3,Lower,98,*,96.4,99.8,Higher,7.5,45,Higher,10,6.1,16.9,Lower,3,4,2.3,Lower,7.6,Lower,^,,^,5,4,5.3,Lower,28,^,^,^,^,92.2,*,85.9,95.8,Higher,<0.001,85,,76.4,90.7,Higher,0.002,12,*,6.3,20.6,Lower,0.003,94,*,87,97.7,Higher,0.046,7,,4.4,11.6,Lower,0.023,3,*,1.8,6.5,Lower,<0.001,7,*,3.7,13.4,Lower,0.022,608,424.8,790.7,Lower,2020,1770.3,2269,Higher,99,**,54,,45,61.9,Similar,0.335,8,*,4.3,14,Lower,<0.001,2,*,1.3,4.5,Lower,<0.001,20,,14.3,27.4,Similar,0.051,11.3,,,,,,,,,,,,,,,,,,,,,,,,
102,Manhattan,Greenwich Village and Soho,84271,72,2,16,7,3,10,10,38,24,19,6,4.9,6.3,Lower,23,21.5,24,Lower,9,Lower,94,Higher,4,3.3,4.6,Lower,11,10,12.1,Lower,85,83.5,86.5,Higher,8,4,3,4,Lower,35,33,37,Lower,n/a,10,7.2,14.6,Lower,39,81,74.4,86.5,Similar,0.174,62,,10,,5.9,13.3,Lower,98,*,96.4,99.8,Higher,8.5,41,Higher,9,6,13,Lower,5,2,2,Lower,6,Lower,0.6,*,Lower,6,3.7,7.4,Lower,40,^,^,^,^,92.2,*,85.9,95.8,Higher,<0.001,85,,76.4,90.7,Higher,0.002,12,*,6.3,20.6,Lower,0.003,94,*,87,97.7,Higher,0.046,7,,4.4,11.6,Lower,0.023,3,*,1.8,6.5,Lower,<0.001,7,*,3.7,13.4,Lower,0.022,302,202.6,400.6,Lower,1701,1570.5,1831.6,Similar,60,,54,,45,61.9,Similar,0.335,8,*,4.3,14,Lower,<0.001,2,*,1.3,4.5,Lower,<0.001,20,,14.3,27.4,Similar,0.051,11.1,,,,,,,,,,,,,,,,,,,,,,,,
103,Manhattan,Lower East Side and Chinatown,164150,28,7,38,25,2,14,10,31,25,20,28,25.9,29.2,Higher,34,33,35.8,Lower,21,Similar,84,Similar,26,24.3,27.9,Higher,27,25.5,28.6,Lower,47,45.3,48.5,Higher,22,6,5,6,Similar,49,46,51,Same,14,42,36.8,48,Lower,190,73,66,78.8,Similar,0.188,34,,36,,29.9,42.2,Higher,91,,87.9,94.4,Similar,7.5,47,Higher,20,15.5,23.5,Similar,9,4,5.2,Lower,10.1,Higher,5.2,,Lower,16,13.1,18.3,Lower,236,411,272.8,593.3,Lower,68.6,,61.3,75,Lower,0.004,78,,70.8,84,Similar,0.183,17,,11,26.1,Similar,0.192,86,,76.9,91.3,Similar,0.279,9,,5.5,13.5,Similar,0.192,9,*,4.6,15.4,Similar,0.119,12,,6.9,18.7,Similar,0.728,890,665.3,1114,Similar,1837,1739.8,1934,Higher,77,,57,,48.9,65.6,Similar,0.058,14,,9.9,18.8,Lower,<0.001,13,,9,18.8,Similar,0.745,22,,17.9,27.8,Similar,0.109,15.4,,,,,,,,,,,,,,,,,,,,,,,,
104,Manhattan,Clinton and Chelsea,137340,57,6,14,19,3,9,7,42,26,16,9,8.4,10.3,Lower,30,28.5,31.8,Lower,19,Lower,85,Similar,5,4.7,6.2,Lower,16,14.4,16.8,Lower,79,76.8,81.1,Higher,11,4,4,5,Lower,39,36,41,Lower,^,34,28.4,40.4,Lower,97,74,67,79.8,Similar,0.323,74,,12,,7.5,16.2,Lower,98,*,96,99.2,Higher,8,39,Higher,15,11.7,19.8,Lower,6,4,5,Lower,7.5,Lower,6.6,,Lower,14,10.8,16.8,Lower,107,^,^,^,^,88.1,,80.5,93,Higher,0.002,85,,79.1,88.8,Higher,<0.001,12,,8.1,18.4,Lower,<0.001,91,*,82.7,95.1,Similar,0.699,4,,2.4,7.5,Lower,<0.001,10,*,5,20.4,Similar,0.543,10,,5.4,17.2,Similar,0.333,622,463.1,781.7,Lower,1613,1493.4,1731.7,Similar,60,,48,,40.3,55.3,Similar,0.665,12,,7.8,18.4,Lower,<0.001,5,*,2.7,9.7,Lower,<0.001,13,,9.4,17.2,Lower,<0.001,27.6,,,,,,,,,,,,,,,,,,,,,,,,
105,Manhattan,Midtown,57097,66,4,19,8,2,8,12,42,22,17,9,8.4,10.3,Lower,30,28.5,31.8,Lower,23,Similar,91,Higher,5,4.7,6.2,Lower,16,14.4,16.8,Lower,79,76.8,81.1,Higher,11,4,4,5,Lower,39,36,41,Lower,^,25,17.7,34.9,Lower,118,74,67,79.8,Similar,0.323,74,,12,,7.5,16.2,Lower,98,*,96,99.2,Higher,9.2,35,Higher,18,11,26.7,Similar,7,2,4.3,Lower,10.1,Higher,3,,Lower,12,9,14.8,Lower,106,^,^,^,^,88.1,,80.5,93,Higher,0.002,85,,79.1,88.8,Higher,<0.001,12,,8.1,18.4,Lower,<0.001,91,*,82.7,95.1,Similar,0.699,4,,2.4,7.5,Lower,<0.001,10,*,5,20.4,Similar,0.543,10,,5.4,17.2,Similar,0.333,694,496.8,891.3,Lower,1668,1488.5,1848,Similar,78,,48,,40.3,55.3,Similar,0.665,12,,7.8,18.4,Lower,<0.001,5,*,2.7,9.7,Lower,<0.001,13,,9.4,17.2,Lower,<0.001,30.3,,,,,,,,,,,,,,,,,,,,,,,,
106,Manhattan,Stuyvesant Town and Turtle Bay,132940,70,4,16,8,2,8,10,37,23,22,6,5.2,7.3,Lower,24,22.3,25.4,Lower,10,Lower,88,Higher,3,2.5,4.2,Lower,13,11.6,14.6,Lower,84,81.9,85.3,Higher,9,3,2,4,Lower,41,38,44,Lower,n/a,35,29.6,41.2,Lower,45,79,71.5,85.2,Similar,0.544,71,,10,,6.4,13.3,Lower,94,,91.4,96.4,Similar,7.8,26,Higher,20,16,24.8,Similar,6,2,3.4,Lower,8,Lower,1.8,,Lower,7,4.9,9.5,Lower,77,^,^,^,^,91.7,*,84.4,95.7,Higher,<0.001,86,,77.5,92.1,Higher,<0.001,14,,8.1,24.1,Lower,0.048,99,*,96.6,99.5,Higher,<0.001,6,*,3,11.3,Lower,0.007,^,^,^,^,n/a,n/a,9,*,4.8,17.8,Similar,0.331,548,403.9,691.4,Lower,2019,1915.1,2123.5,Higher,83,,55,,45.2,65.1,Similar,0.238,10,,6.7,15.7,Lower,<0.001,3,*,1.5,4.9,Lower,<0.001,19,,13.3,27,Lower,0.033,10.6,,,,,,,,,,,,,,,,,,,,,,,,
107,Manhattan,Upper West Side,202414,65,8,8,16,2,15,5,31,26,22,8,7.1,8.8,Lower,22,20.9,24,Lower,14,Lower,89,Higher,6,4.7,6.3,Lower,15,13.7,16,Lower,80,78,81.3,Higher,10,4,3,5,Lower,36,34,39,Lower,n/a,25,20.6,28.7,Lower,96,83,76.6,88.1,Higher,0.036,59,,16,,11.4,19.6,Lower,92,,89.6,94.8,Similar,6.3,35,Higher,16,12.6,18.8,Lower,3,4,3.2,Lower,6.7,Lower,4,,Lower,10,6.9,12.3,Lower,109,292,203.7,406.7,Lower,86.8,,79.8,91.6,Higher,0.005,87,,80.1,91.7,Higher,<0.001,11,,6.6,17.5,Lower,<0.001,89,,81.5,94.1,Similar,0.978,6,,3.4,9.4,Lower,<0.001,4,*,1.8,7.5,Lower,<0.001,13,,9,19.4,Similar,0.751,548,409,686.7,Lower,1872,1792.2,1952.6,Higher,72,,63,,54.5,69.9,Higher,0.001,21,,14.3,30,Similar,0.352,7,,4.8,10.4,Lower,<0.001,20,,15.2,26.7,Lower,0.031,9.5,,24.8,27,,19.8,34.7,Higher,0.023,370,311.9,427.4,Lower,1.8,,0.7,3.9,Similar,173,71.5,Lower,86.3,85.7,86.9,Higher
108,Manhattan,Upper East Side,211756,77,3,10,8,2,15,5,33,24,24,5,4.3,5.7,Lower,24,22,25.1,Lower,8,Lower,94,Higher,2,1.8,2.8,Lower,15,13.2,15.8,Lower,83,81.1,85.3,Higher,6,3,2,3,Lower,40,38,43,Lower,n/a,15,12.4,18.6,Lower,29,80,73.5,85.4,Similar,0.301,65,,10,,6.8,13.6,Lower,96,*,94.1,98.8,Higher,6.7,33,Higher,19,15.4,21.7,Lower,4,3,2.1,Lower,7.4,Lower,1.6,,Lower,6,5.1,7.3,Lower,43,179,110.8,273.6,Lower,90.3,,83.1,94.7,Higher,<0.001,87,,79.7,91.8,Higher,<0.001,7,,4.3,10.5,Lower,<0.001,93,*,85.3,96.6,Similar,0.212,12,,6.9,19.1,Similar,0.916,4,*,1.9,7.4,Lower,<0.001,12,,7.1,18.9,Similar,0.781,460,337.5,581.9,Lower,2098,2017,2178.2,Higher,77,,67,,59.5,74.2,Higher,<0.001,10,,6.7,15.4,Lower,<0.001,7,*,3.6,12.6,Lower,0.011,16,,11.4,22.5,Lower,<0.001,4.5,,11.4,27,,19.8,34.7,Higher,0.023,258,222,294.7,Lower,^,^,^,^,n/a,257,63,Lower,87.7,87.3,88.1,Higher
109,Manhattan,Morningside Heights and Hamilton Heights,103970,21,25,7,44,3,17,15,33,22,14,19,17.1,20.5,Lower,34,32,35.4,Lower,29,Higher,80,Similar,19,17,20.8,Same,30,27.9,31.4,Lower,51,49.4,53.4,Higher,20,6,5,7,Similar,50,47,53,Same,29,57,49.4,65.3,Similar,304,77,69.4,82.9,Similar,0.948,39,*,34,,25.9,41.2,Higher,88,,82.6,93.1,Similar,6.3,34,Higher,21,16.3,27.2,Similar,5,3,10.9,Higher,8.5,Lower,10.8,,Lower,24,21.4,26.6,Higher,268,654,462.6,897.3,Similar,72.4,,61.8,81,Similar,0.199,75,,66,81.8,Similar,0.779,17,,10.2,27.9,Similar,0.275,88,,80,93.1,Similar,0.671,11,,6.4,18.3,Similar,0.928,20,,12.1,31.4,Similar,0.13,26,,18.1,35.9,Higher,0.003,1232,957.7,1507,Similar,1232,1119,1345.9,Lower,72,,54,,45.1,62.5,Similar,0.309,23,,15.6,32,Similar,0.636,15,,10,21.1,Similar,0.402,31,,22.6,40.9,Similar,0.341,33.4,,27.2,26,,18.7,34.6,Similar,0.053,605,563,647.5,Lower,3.2,,1.6,5.7,Similar,1229,156.8,Lower,84.1,83.8,84.4,Higher
110,Manhattan,Central Harlem,110570,8,63,3,23,3,21,8,34,24,12,11,10.2,12.4,Lower,23,21.8,25,Lower,33,Higher,76,Lower,17,15.8,18.9,Same,38,35.6,39.6,Same,45,43.5,46.6,Same,21,9,7,10,Higher,45,43,48,Lower,53,116,105.2,127.2,Higher,519,82,75.7,86.3,Similar,0.091,45,,27,,20.3,33.3,Similar,82,,76.3,88,Lower,6.4,21,Higher,32,25.7,37.9,Higher,6,5,10.4,Higher,10.9,Higher,18,,Higher,22,20.1,23.5,Similar,511,886,689.4,1121.3,Higher,76.5,,68.4,83,Similar,0.56,79,,72.2,85.2,Similar,0.078,30,,22.2,40.2,Similar,0.073,89,,81.5,93.2,Similar,0.783,9,,5.5,15.5,Similar,0.435,12,,7.9,18.2,Similar,0.832,11,,7.1,17.8,Similar,0.659,2030,1596.5,2463.4,Higher,1333,1213.1,1452,Lower,79,,55,,46.1,63.4,Similar,0.214,35,,26.7,44.1,Higher,0.023,7,*,3.9,12.9,Lower,0.021,31,,26.3,36.1,Similar,0.077,58.6,,36.7,21,,16.1,27.9,Similar,0.258,620,574.8,664.8,Similar,2.3,,0.9,4.8,Similar,693,106.4,Lower,85.5,85.1,85.9,Higher
